id,length_min,length_max,length_start,angle_min,angle_max,angle_start,pivot_x,pivot_y,pivot_z,axis_x,axis_y,axis_z,driver,coupled
1,50,100,80,-50,50,-50,0,0,-261,1,0,0,,
2,50,100,99,-90,90,-50,0,-40,-1020,1,0,0,1,
